uid,locno,DAYNO,stime,etime,X_PUBLIC,Y_PUBLIC
1,4000001_1,94000001,1,1170298800,1170319800,-88.23,41.73
2,4000001_1,20010778,1,1170320400,1170340800,-88.18,41.76
3,4000001_1,94000001,1,1170341400,1170342900,-88.23,41.73
4,4000001_1,20001489,1,1170343800,1170348000,-88.23,41.73
5,4000001_1,20001569,1,1170348600,1170356400,-88.21,41.76
6,4000001_1,20001637,1,1170357000,1170358800,-88.18,41.76
7,4000001_1,20001707,1,1170359400,1170360600,-88.18,41.76
8,4000001_1,94000001,1,1170361200,1170298740,-88.23,41.73
9,4000001_1,94000001,2,1170385200,1170443700,-88.23,41.73
10,4000001_1,20001856,2,1170444300,1170447600,-88.23,41.73
11,4000001_1,94000001,2,1170448200,1170385140,-88.23,41.73
12,4000001_2,94000001,1,1170298800,1170342900,-88.23,41.73
13,4000001_2,20001489,1,1170343800,1170348000,-88.23,41.73
14,4000001_2,20001569,1,1170348600,1170356400,-88.21,41.76
15,4000001_2,20001637,1,1170357000,1170358800,-88.18,41.76
16,4000001_2,20001707,1,1170359400,1170360600,-88.18,41.76
17,4000001_2,94000001,1,1170361200,1170298740,-88.23,41.73
18,4000001_2,94000001,2,1170385200,1170443700,-88.23,41.73
19,4000001_2,20001856,2,1170444300,1170447600,-88.23,41.73
20,4000001_2,94000001,2,1170448200,1170385140,-88.23,41.73
21,4000001_3,94000001,1,1170298800,1170342900,-88.23,41.73
22,4000001_3,20001489,1,1170343800,1170348000,-88.23,41.73
23,4000001_3,20001569,1,1170348600,1170356400,-88.21,41.76
24,4000001_3,20001637,1,1170357000,1170358800,-88.18,41.76
25,4000001_3,20001707,1,1170359400,1170360600,-88.18,41.76
26,4000001_3,94000001,1,1170361200,1170298740,-88.23,41.73
27,4000001_3,94000001,2,1170385200,1170443700,-88.23,41.73
28,4000001_3,20001856,2,1170444300,1170447600,-88.23,41.73
29,4000001_3,94000001,2,1170448200,1170385140,-88.23,41.73
30,4000064_1,94000064,1,1170298800,1170318000,-87.69,42.07
31,4000064_1,10003123,1,1170318300,1170322200,-87.67,42.04
32,4000064_1,10003193,1,1170323280,1170324300,-87.65,41.98
33,4000064_1,10009334,1,1170325200,1170349800,-87.61,41.89
34,4000064_1,94000064,1,1170352200,1170298740,-87.69,42.07
35,4000064_2,94000064,1,1170298800,1170315600,-87.69,42.07
36,4000064_2,10008874,1,1170317100,1170335100,-87.81,42.18
37,4000064_2,10003187,1,1170335400,1170336000,-87.81,42.18
38,4000064_2,10008874,1,1170336300,1170345900,-87.81,42.18
39,4000064_2,10003192,1,1170347400,1170348600,-87.81,42.13
40,4000064_2,10003122,1,1170349800,1170350100,-87.73,42.07
41,4000064_2,10003148,1,1170350400,1170351000,-87.71,42.07
